drug1,drug2,3pathssGSEA_sim,SMILES_sim,PPI_sim
(5Z)-7-Oxozeaenol,GSK2126458,0.998365459,0.162790698,1.07853E-70
MS-275,OSI-930,0.998193161,0.362694301,3.29924E-77
GW-2580,VX-11e,0.997189963,0.242063492,3.7128E-84
ABT-869,AC220,0.996300765,0.257462687,0.9
681640,Methotrexate,0.996231842,0.236734694,6.45759E-66
AG-014699,PHA-793887,0.996134942,0.223529412,5.36967E-72
JQ12,Vinblastine,0.995927571,NA,1.53708E-91
KIN001-055,T0901317,0.99574713,0.161111111,4.8965E-75
PFI-1,Tamoxifen,0.995377083,0.208092486,2.37561E-66
PFI-1,SB590885,0.995238003,0.194029851,2.74341E-83
GSK2126458,Masitinib,0.995186041,0.238596491,0.9
PAC-1,Parthenolide,0.995148007,0.21875,4.35109E-68
QL-XII-61,XL-880,0.994792756,NA,3.21504E-67
OSI-930,VNLG/124,0.994327227,0.190243902,NA
SB-715992,XMD8-92,0.994166664,0.255555556,1.27812E-97
IOX2,PIK-93,0.994166135,0.159259259,8.4863E-133
PAC-1,Phenformin,0.994118049,0.146853147,8.4863E-133
KIN001-260,OSI-930,0.993953982,0.135036496,NA
Methotrexate,UNC0638,0.993786925,0.294820717,0.9
MS-275,VNLG/124,0.993722279,0.219101124,NA
NG-25,ZSTK474,0.993544273,0.238317757,1.45963E-71
AC220,NU-7441,0.993443002,0.267080745,1.8485E-85
681640,UNC0638,0.993377893,0.203463203,6.45759E-66
OSI-930,Vinblastine,0.993082666,0.221606648,5.51029E-82
MS-275,Vinblastine,0.992975464,0.214076246,7.65266E-93
AT-7519,T0901317,0.992930055,0.145631068,4.07158E-81
BX-795,NG-25,0.992849775,0.26953125,6.45759E-66
CUDC-101,MP470,0.992737444,0.33744856,4.35109E-68
JQ12,OSI-930,0.992716739,NA,3.29924E-77
JQ12,MS-275,0.992526822,NA,0.9
GSK-650394,GSK1070916,0.992498307,0.333333333,1.18275E-67
Bryostatin 1,Methotrexate,0.992463037,0.121212121,6.45759E-66
MP470,TL-1-85,0.992455481,NA,NA
Bleomycin,OSI-930,0.992418002,0.198156682,0.9
MS-275,PAC-1,0.99226265,0.21761658,4.35109E-68
(5Z)-7-Oxozeaenol,Masitinib,0.992251575,0.129277567,4.6334E-131
FTI-277,Methotrexate,0.992153259,0.35840708,0.9
